text,label
"Passagem aérea Azul R$ 113,69",Viagem
Fui no Pão de Açúcar comprar comida (pix),Mercado
"Alura R$ 175,16",Educação
Curso Machine Learning,Educação
"Material escolar R$ 36,54",Educação
Gás de cozinha,Moradia
DEPÓSITO DE SALÁRIO UNIMED,Renda
Estacionamento centro,Transporte
Paguei aluguel,Moradia
"DENTISTA HOJE R$ 236,97",Saúde
Bar Pizzaria hoje,Lazer
Assinatura ChatGPT Plus,Assinaturas
Sorvete Restaurante japonês hoje,Lazer
"RECEBIMENTO FREELANCE {TIPO} ✅ R$ 97,10",Renda
Airbnb aeroporto hoje,Viagem
Doação urgente,Outros
Passeio turístico aeroporto (pix),Viagem
Material escolar,Educação
"Condomínio do apartamento R$ 154,47",Moradia
Cinema com amigos (pix),Lazer
HORTIFRUTI BOM PREÇO (PIX),Mercado
"Estacionamento casa 😅 R$ 577,17",Transporte
Plano de saúde Itaú (pix),Saúde
Gás de cozinha,Moradia
Remédio vitamina C (pix),Saúde
"Presente para pai hoje R$ 127,96",Outros
"Plano de saúde Tim R$ 508,96",Saúde
"Airbnb casa hoje R$ 562,75",Viagem
Estacionamento aeroporto ✅,Transporte
PASSAGEM DE ÔNIBUS,Transporte
"Spotify ✅ R$ 580,93",Assinaturas
"YouTube Premium R$ 242,94",Assinaturas
"Material escolar R$ 504,03",Educação
MATERIAL ESCOLAR URGENTE,Educação
Compra no Pão de Açúcar,Mercado
Bônus do trabalho,Renda
"Pagamento Enel R$ 511,23",Renda
"Compra de livro finanças pessoais (pix) R$ 96,00",Educação
"Aluguel de carro 😅 R$ 106,17",Viagem
Açougue Popular,Mercado
"Gasolina no Ale 😅 R$ 368,01",Transporte
Passagem aérea Gol,Viagem
RENOVAÇÃO ICLOUD 😅,Assinaturas
"Fui no Pão de Açúcar comprar comida 😅 R$ 210,02",Mercado
Compra no Supermercado local,Mercado
Renovação Google One (pix),Assinaturas
Passeio turístico casa ✅,Viagem
Udemy Machine Learning (pix),Educação
Sorvete Restaurante japonês hoje,Lazer
"Hortifruti da esquina R$ 418,73",Mercado
Sorvete Pizzaria ✅,Lazer
"Gás de cozinha (pix) R$ 157,34",Moradia
Pix recebido do João,Renda
Compra de supermercado Carrefour,Mercado
Udemy Python,Educação
Bar Outback 😅,Lazer
Restaurante Restaurante japonês urgente,Lazer
Exame de sangue,Saúde
SORVETE MCDONALD'S,Lazer
Show/ingresso 😅,Lazer
Consulta médica urgente,Saúde
Bônus do trabalho hoje,Renda
Conta de luz Nubank 😅,Moradia
Aluguel de carro,Viagem
Fui no Carrefour comprar comida,Mercado
Plano de saúde Unimed,Saúde
Conta de água Tim urgente,Moradia
"Gasolina no Shell ✅ R$ 58,26",Transporte
"Gasolina no BR ✅ R$ 33,04",Transporte
Mensalidade faculdade urgente,Educação
Compra de livro estatística,Educação
Amazon Prime 😅,Assinaturas
"Pagamento Vivo R$ 544,66",Renda
Udemy Machine Learning,Educação
Remédio dipirona 😅,Saúde
Mensalidade faculdade,Educação
INTERNET TIM,Moradia
Padaria da esquina,Mercado
RECEBI SALÁRIO (PIX),Renda
Presente para Maria,Outros
UBER PARA CENTRO,Transporte
Pagamento diverso,Outros
Passagem aérea Gol,Viagem
"Amazon Prime R$ 19,40",Assinaturas
Airbnb casa ✅,Viagem
Uber para academia,Transporte
CONTA DE ÁGUA VIVO ✅,Moradia
"Plano de saúde Unimed urgente R$ 258,06",Saúde
Passagem de ônibus,Transporte
"Pedágio casa ✅ R$ 222,14",Transporte
99 para aeroporto ✅,Transporte
"Padaria da esquina ✅ R$ 99,44",Mercado
Compra de livro estatística ✅,Educação
Gás de cozinha,Moradia
YouTube Premium ✅,Assinaturas
"Compra no Atacadão ✅ R$ 267,62",Mercado
Padaria da esquina 😅,Mercado
"Dentista hoje R$ 77,90",Saúde
Gás de cozinha 😅,Moradia
Remédio antialérgico (pix),Saúde
Presente para João hoje,Outros
"Conta de luz Tim ✅ R$ 562,27",Moradia
FUI NO ATACADÃO COMPRAR COMIDA URGENTE,Mercado
"Consulta médica R$ 149,19",Saúde
Presente para João,Outros
Restaurante McDonald's hoje,Lazer
"Gasolina no Shell urgente R$ 348,38",Transporte
Plano de saúde Tim 😅,Saúde
Restaurante Restaurante japonês,Lazer
Remédio ibuprofeno ✅,Saúde
INTERNET ITAÚ HOJE,Moradia
Gás de cozinha,Moradia
"PAGUEI ALUGUEL 😅 R$ 554,04",Moradia
Ifood Pizzaria urgente,Lazer
Consulta médica 😅,Saúde
COMPRA NO ATACADÃO ✅,Mercado
Compra na Central,Outros
SORVETE RESTAURANTE JAPONÊS HOJE,Lazer
Uber para trabalho,Transporte
"Renovação Office 365 hoje R$ 380,11",Assinaturas
COMPRA DE SUPERMERCADO SUPERMERCADO LOCAL,Mercado
"Ifood Outback hoje R$ 360,60",Lazer
Ifood McDonald's ✅,Lazer
Recebimento freelance {tipo} ✅,Renda
"PASSEIO TURÍSTICO TRABALHO HOJE R$ 417,84",Viagem
RECEBIMENTO FREELANCE {TIPO},Renda
Serviço iCloud urgente,Outros
Alura ✅,Educação
Udemy Power BI 😅,Educação
Restaurante Outback hoje,Lazer
Alura (pix),Educação
MENSALIDADE FACULDADE (PIX),Educação
Airbnb trabalho urgente,Viagem
Internet Enel urgente,Moradia
"Amazon Prime R$ 397,06",Assinaturas
Presente para João,Outros
UDEMY POWER BI,Educação
"MANUTENÇÃO CELULAR HOJE R$ 286,08",Outros
Aluguel de carro urgente,Viagem
"Material escolar ✅ R$ 365,78",Educação
"Assinatura Google One R$ 120,29",Assinaturas
"Farmácia Pague Menos urgente R$ 239,17",Saúde
"Curso Power BI (pix) R$ 21,63",Educação
Renovação iCloud,Assinaturas
Passeio turístico academia (pix),Viagem
Assinatura ChatGPT Plus 😅,Assinaturas
"Udemy Power BI hoje R$ 276,41",Educação
Conta de água Unimed (pix),Moradia
"Conta de água Enel R$ 31,74",Moradia
Gasolina no Shell urgente,Transporte
Fui no Supermercado local comprar comida ✅,Mercado
Consulta médica,Saúde
Manutenção carro hoje,Outros
Serviço ChatGPT Plus hoje,Outros
Gasolina no Ipiranga,Transporte
Alura 😅,Educação
RESTAURANTE RESTAURANTE JAPONÊS 😅,Lazer
Alura,Educação
"Passagem de ônibus (pix) R$ 179,37",Transporte
Passagem de ônibus (pix),Transporte
"PAGAMENTO VIVO R$ 269,51",Renda
YOUTUBE PREMIUM,Assinaturas
Pedágio trabalho,Transporte
Estacionamento academia,Transporte
"Bar McDonald's R$ 454,95",Lazer
Dentista,Saúde
CURSO PYTHON,Educação
"Show/ingresso (pix) R$ 499,02",Lazer
Hortifruti Bom Preço,Mercado
Curso Inglês urgente,Educação
Material escolar hoje,Educação
"Exame de sangue 😅 R$ 75,04",Saúde
BÔNUS DO TRABALHO,Renda
Presente para mãe,Outros
Remédio antialérgico,Saúde
Hortifruti Popular hoje,Mercado
Material escolar,Educação
Recebi salário,Renda
Renovação ChatGPT Plus 😅,Assinaturas
Renovação ChatGPT Plus,Assinaturas
"Remédio vitamina C 😅 R$ 156,74",Saúde
Pedágio trabalho,Transporte
"Exame de sangue R$ 562,93",Saúde
Serviço Office 365 hoje,Outros
"DEPÓSITO DE SALÁRIO ITAÚ R$ 187,51",Renda
Compra no Pão de Açúcar urgente,Mercado
Manutenção computador,Outros
IFOOD RESTAURANTE JAPONÊS,Lazer
Compra de supermercado Assaí 😅,Mercado
YouTube Premium (pix),Assinaturas
Restaurante McDonald's hoje,Lazer
COMPRA NO ASSAÍ (PIX),Mercado
SPOTIFY URGENTE,Assinaturas
"Depósito de salário Enel R$ 257,85",Renda
"Fui no Carrefour comprar comida hoje R$ 522,14",Mercado
"Compra de livro finanças pessoais hoje R$ 305,39",Educação
Curso Power BI 😅,Educação
Gasolina no Ipiranga,Transporte
Passagem de ônibus ✅,Transporte
"Alura (pix) R$ 586,59",Educação
Recebi salário,Renda
"Farmácia Pague Menos 😅 R$ 227,47",Saúde
Material escolar (pix),Educação
Udemy Power BI,Educação
Conta de luz Tim,Moradia
"Pagamento diverso hoje R$ 83,79",Outros
HOTEL EM TRABALHO,Viagem
RENOVAÇÃO OFFICE 365,Assinaturas
Presente para João hoje,Outros
Restaurante Pizzaria 😅,Lazer
Aluguel de carro,Viagem
Udemy Power BI urgente,Educação
YouTube Premium,Assinaturas
"YouTube Premium hoje R$ 600,86",Assinaturas
Amazon Prime 😅,Assinaturas
Pedágio academia,Transporte
FARMÁCIA PANVEL HOJE,Saúde
"Compra de supermercado Atacadão (pix) R$ 348,24",Mercado
Bônus do trabalho urgente,Renda
Airbnb aeroporto hoje,Viagem
99 para aeroporto (pix),Transporte
Gasolina no Ale (pix),Transporte
"EXAME DE SANGUE R$ 492,38",Saúde
Amazon Prime hoje,Assinaturas
Assinatura Google One urgente,Assinaturas
"ALURA HOJE R$ 40,58",Educação
Padaria Popular,Mercado
"YouTube Premium hoje R$ 538,67",Assinaturas
"Passeio turístico academia R$ 269,28",Viagem
"Bônus do trabalho R$ 170,57",Renda
Depósito de salário Claro hoje,Renda
Pedágio centro (pix),Transporte
"ESTACIONAMENTO AEROPORTO ✅ R$ 167,87",Transporte
Compra no Pão de Açúcar,Mercado
Conta de luz Copasa ✅,Moradia
Assinatura ChatGPT Plus,Assinaturas
Condomínio do apartamento ✅,Moradia
Hotel em centro hoje,Viagem
Compra de livro estatística ✅,Educação
Presente para Maria,Outros
Plano de saúde Claro ✅,Saúde
Depósito de salário Claro ✅,Renda
COMPRA DE SUPERMERCADO ATACADÃO 😅,Mercado
Passeio turístico aeroporto (pix),Viagem
Passeio turístico aeroporto,Viagem
Spotify,Assinaturas
Recebi salário 😅,Renda
Açougue Bom Preço urgente,Mercado
Assinatura ChatGPT Plus,Assinaturas
Remédio antialérgico,Saúde
Plano de saúde Tim,Saúde
ESTACIONAMENTO CENTRO 😅,Transporte
Conta de luz Copasa hoje,Moradia
"Bar Outback R$ 514,23",Lazer
Padaria da esquina,Mercado
Conta de luz Itaú,Moradia
ASSINATURA OFFICE 365 HOJE,Assinaturas
Show/ingresso hoje,Lazer
Fui no Assaí comprar comida,Mercado
"Dentista urgente R$ 333,84",Saúde
COMPRA DE SUPERMERCADO SUPERMERCADO LOCAL URGENTE,Mercado
"Ifood Restaurante japonês 😅 R$ 10,02",Lazer
SERVIÇO ICLOUD HOJE,Outros
RESTAURANTE OUTBACK,Lazer
"HOTEL EM CASA HOJE R$ 38,18",Viagem
"Açougue Central hoje R$ 490,21",Mercado
Spotify urgente,Assinaturas
ALUGUEL DE CARRO (PIX),Viagem
Uber para academia hoje,Transporte
"Sorvete Restaurante japonês R$ 168,24",Lazer
"Compra na Central R$ 246,67",Outros
Padaria Bom Preço ✅,Mercado
Hotel em aeroporto,Viagem
Curso Inglês,Educação
"Passagem de ônibus urgente R$ 185,23",Transporte
Remédio dipirona urgente,Saúde
Compra de livro estatística hoje,Educação
Material escolar,Educação
"Recebi salário 😅 R$ 275,47",Renda
SHOW/INGRESSO HOJE,Lazer
Pagamento diverso,Outros
"Restaurante Restaurante japonês ✅ R$ 153,76",Lazer
Cinema com amigos,Lazer
Material escolar ✅,Educação
ASSINATURA GOOGLE ONE 😅,Assinaturas
Passagem aérea Gol ✅,Viagem
Passagem aérea Azul ✅,Viagem
Mensalidade faculdade ✅,Educação
Recebi salário,Renda
Compra no Carrefour (pix),Mercado
Cinema com amigos urgente,Lazer
Plano de saúde Vivo 😅,Saúde
"Compra de livro estatística R$ 121,58",Educação
"GASOLINA NO IPIRANGA URGENTE R$ 365,25",Transporte
GÁS DE COZINHA 😅,Moradia
Internet Itaú,Moradia
Show/ingresso urgente,Lazer
"Recebi salário R$ 489,74",Renda
Recebimento freelance {tipo},Renda
Hotel em casa urgente,Viagem
Remédio vitamina C (pix),Saúde
"Serviço Google One R$ 480,57",Outros
"Bônus do trabalho urgente R$ 562,05",Renda
Exame de sangue ✅,Saúde
Amazon Prime urgente,Assinaturas
99 para trabalho,Transporte
"Seguro viagem R$ 266,05",Viagem
Recebimento freelance {tipo},Renda
Conta de luz Enel,Moradia
Udemy Power BI urgente,Educação
PRESENTE PARA MÃE ✅,Outros
Netflix ✅,Assinaturas
Condomínio do apartamento (pix),Moradia
PAGAMENTO UNIMED URGENTE,Renda
Presente para João 😅,Outros
"UDEMY INGLÊS URGENTE R$ 538,06",Educação
Spotify ✅,Assinaturas
Alura,Educação
YouTube Premium,Assinaturas
"Plano de saúde Unimed hoje R$ 90,58",Saúde
Condomínio do apartamento ✅,Moradia
Pedágio casa,Transporte
Serviço ChatGPT Plus ✅,Outros
DENTISTA ✅,Saúde
Compra de supermercado Atacadão ✅,Mercado
"SPOTIFY HOJE R$ 96,24",Assinaturas
"Doação R$ 358,72",Outros
Serviço iCloud,Outros
Udemy Python ✅,Educação
"Compra de livro machine learning R$ 214,79",Educação
Compra de supermercado Supermercado local,Mercado
"Compra na da esquina 😅 R$ 387,79",Outros
Internet Tim urgente,Moradia
Hotel em academia,Viagem
"Condomínio do apartamento R$ 594,81",Moradia
Pix recebido do Maria 😅,Renda
Gás de cozinha,Moradia
Pagamento Itaú,Renda
Hotel em academia (pix),Viagem
Internet Enel 😅,Moradia
Passagem aérea Latam urgente,Viagem
Recebimento freelance {tipo} urgente,Renda
Restaurante Restaurante japonês urgente,Lazer
Padaria Bom Preço urgente,Mercado
Doação,Outros
Hotel em casa ✅,Viagem
"Cinema com amigos R$ 518,81",Lazer
Farmácia Droga Raia,Saúde
Presente para pai hoje,Outros
"Pix recebido do pai ✅ R$ 429,63",Renda
"COMPRA DE SUPERMERCADO CARREFOUR 😅 R$ 465,14",Mercado
Pagamento diverso,Outros
Plano de saúde Vivo (pix),Saúde
"Depósito de salário Vivo R$ 566,50",Renda
Udemy Python 😅,Educação
DENTISTA (PIX),Saúde
Seguro viagem,Viagem
Recebimento freelance {tipo} ✅,Renda
Aluguel de carro,Viagem
Compra de livro finanças pessoais 😅,Educação
Renovação iCloud,Assinaturas
PEDÁGIO CASA,Transporte
Material escolar,Educação
BÔNUS DO TRABALHO HOJE,Renda
Udemy Inglês hoje,Educação
Paguei aluguel,Moradia
Renovação Office 365 hoje,Assinaturas
Hortifruti Popular ✅,Mercado
Passagem aérea Gol 😅,Viagem
Consulta médica 😅,Saúde
"YouTube Premium (pix) R$ 339,22",Assinaturas
Paguei aluguel hoje,Moradia
"FUI NO ATACADÃO COMPRAR COMIDA ✅ R$ 561,72",Mercado
Exame de sangue,Saúde
"Alura (pix) R$ 467,81",Educação
"Açougue Popular R$ 441,97",Mercado
Renovação iCloud,Assinaturas
"Cinema com amigos urgente R$ 125,51",Lazer
"SHOW/INGRESSO R$ 532,77",Lazer
Seguro viagem 😅,Viagem
"Airbnb casa R$ 28,88",Viagem
Condomínio do apartamento,Moradia
Passagem aérea Gol ✅,Viagem
Fui no Carrefour comprar comida,Mercado
AIRBNB AEROPORTO,Viagem
Seguro viagem (pix),Viagem
Manutenção moto 😅,Outros
Uber para trabalho,Transporte
Spotify,Assinaturas
Alura,Educação
Açougue Popular urgente,Mercado
Udemy Inglês hoje,Educação
Manutenção carro ✅,Outros
"GASOLINA NO ALE 😅 R$ 208,51",Transporte
Consulta médica,Saúde
Padaria Popular,Mercado
"Compra de livro machine learning hoje R$ 145,70",Educação
Pagamento diverso,Outros
Compra de supermercado Supermercado local ✅,Mercado
Uber para casa (pix),Transporte
"Uber para aeroporto 😅 R$ 105,25",Transporte
"Restaurante Pizzaria urgente R$ 430,79",Lazer
Renovação Google One 😅,Assinaturas
Manutenção moto ✅,Outros
Pix recebido do cliente,Renda
"Doação R$ 204,28",Outros
YouTube Premium,Assinaturas
Condomínio do apartamento (pix),Moradia
Exame de sangue ✅,Saúde
PRESENTE PARA MÃE,Outros
Netflix 😅,Assinaturas
Gás de cozinha urgente,Moradia
"Recebi salário urgente R$ 187,12",Renda
Passeio turístico aeroporto urgente,Viagem
"AIRBNB TRABALHO ✅ R$ 288,56",Viagem
Udemy Python,Educação
MATERIAL ESCOLAR HOJE,Educação
Doação urgente,Outros
COMPRA NO SUPERMERCADO LOCAL ✅,Mercado
"Depósito de salário Copasa (pix) R$ 424,29",Renda
Curso Python,Educação
"Compra no Carrefour R$ 22,23",Mercado
Padaria Central ✅,Mercado
ASSINATURA CHATGPT PLUS ✅,Assinaturas
Conta de água Itaú (pix),Moradia
Pagamento diverso,Outros
Padaria da esquina hoje,Mercado
Internet Tim 😅,Moradia
Assinatura Office 365 😅,Assinaturas
Hortifruti Central 😅,Mercado
Compra no Atacadão hoje,Mercado
Estacionamento trabalho,Transporte
Serviço iCloud (pix),Outros
"Manutenção computador R$ 532,78",Outros
Uber para centro hoje,Transporte
PASSAGEM DE ÔNIBUS 😅,Transporte
Manutenção moto (pix),Outros
Gasolina no BR,Transporte
Fui no Carrefour comprar comida 😅,Mercado
"Amazon Prime R$ 333,35",Assinaturas
Estacionamento aeroporto ✅,Transporte
Sorvete Burger King ✅,Lazer
Depósito de salário Nubank hoje,Renda
"Bar Burger King R$ 196,69",Lazer
Presente para Maria urgente,Outros
"Mensalidade faculdade R$ 435,54",Educação
SPOTIFY URGENTE,Assinaturas
"Udemy Machine Learning hoje R$ 176,79",Educação
Aluguel de carro,Viagem
"Spotify urgente R$ 342,58",Assinaturas
Spotify ✅,Assinaturas
Bônus do trabalho 😅,Renda
Gás de cozinha ✅,Moradia
CINEMA COM AMIGOS (PIX),Lazer
Compra de supermercado Supermercado local,Mercado
"Renovação iCloud R$ 163,84",Assinaturas
"Manutenção carro 😅 R$ 250,73",Outros
Passagem aérea Azul ✅,Viagem
"Hotel em academia R$ 561,78",Viagem
Plano de saúde Itaú ✅,Saúde
Passagem aérea Azul (pix),Viagem
UBER PARA TRABALHO,Transporte
"Seguro viagem R$ 101,07",Viagem
Bar Outback,Lazer
Cinema com amigos hoje,Lazer
Netflix hoje,Assinaturas
Cinema com amigos,Lazer
Mensalidade faculdade urgente,Educação
Ifood Outback hoje,Lazer
"RECEBIMENTO FREELANCE {TIPO} URGENTE R$ 350,03",Renda
Recebimento freelance {tipo} hoje,Renda
Pedágio centro hoje,Transporte
REMÉDIO VITAMINA C URGENTE,Saúde
Assinatura iCloud (pix),Assinaturas
Compra de livro machine learning,Educação
Internet Copasa 😅,Moradia
Pagamento Claro urgente,Renda
"AÇOUGUE CENTRAL R$ 337,04",Mercado
Passagem aérea Latam ✅,Viagem
"Conta de luz Vivo 😅 R$ 295,15",Moradia
Plano de saúde Enel,Saúde
"Compra no Carrefour 😅 R$ 586,44",Mercado
Açougue Bom Preço ✅,Mercado
DENTISTA,Saúde
Pagamento diverso hoje,Outros
REMÉDIO ANTIALÉRGICO (PIX),Saúde
"Pagamento Copasa R$ 500,40",Renda
Padaria da esquina (pix),Mercado
Pedágio centro hoje,Transporte
"YouTube Premium R$ 482,96",Assinaturas
"Bar Restaurante japonês ✅ R$ 72,14",Lazer
Presente para cliente (pix),Outros
RECEBI SALÁRIO ✅,Renda
"Assinatura iCloud hoje R$ 571,85",Assinaturas
Alura,Educação
"Presente para Maria R$ 107,12",Outros
Compra na Popular,Outros
"CONSULTA MÉDICA ✅ R$ 25,06",Saúde
Estacionamento aeroporto urgente,Transporte
YouTube Premium,Assinaturas
"Padaria Bom Preço hoje R$ 263,81",Mercado
"Uber para trabalho R$ 263,28",Transporte
99 PARA TRABALHO 😅,Transporte
"Serviço Office 365 R$ 218,33",Outros
Consulta médica,Saúde
Renovação Office 365,Assinaturas
ASSINATURA ICLOUD 😅,Assinaturas
"SEGURO VIAGEM ✅ R$ 416,34",Viagem
"Recebi salário (pix) R$ 598,34",Renda
Netflix 😅,Assinaturas
"Hortifruti Popular R$ 13,52",Mercado
Airbnb casa,Viagem
Serviço Office 365,Outros
ALURA,Educação
Gás de cozinha hoje,Moradia
Condomínio do apartamento urgente,Moradia
Fui no Carrefour comprar comida 😅,Mercado
Consulta médica ✅,Saúde
Internet Nubank urgente,Moradia
Plano de saúde Claro hoje,Saúde
"Pagamento diverso urgente R$ 174,32",Outros
MATERIAL ESCOLAR ✅,Educação
Pix recebido do Maria,Renda
HOTEL EM ACADEMIA,Viagem
Recebimento freelance {tipo} 😅,Renda
"Padaria Bom Preço (pix) R$ 10,10",Mercado
Conta de água Nubank,Moradia
Remédio antialérgico,Saúde
Manutenção carro hoje,Outros
Açougue Bom Preço,Mercado
"99 para trabalho R$ 17,53",Transporte
"Spotify hoje R$ 593,98",Assinaturas
COMPRA NO PÃO DE AÇÚCAR,Mercado
"Bar McDonald's R$ 187,66",Lazer
Uber para academia,Transporte
"Seguro viagem urgente R$ 454,71",Viagem
YouTube Premium 😅,Assinaturas
Mensalidade faculdade urgente,Educação
Fui no Pão de Açúcar comprar comida (pix),Mercado
Seguro viagem 😅,Viagem
"Bar Pizzaria R$ 284,28",Lazer
99 PARA AEROPORTO,Transporte
Fui no Assaí comprar comida (pix),Mercado
COMPRA DE LIVRO ESTATÍSTICA,Educação
Doação,Outros
ASSINATURA ICLOUD,Assinaturas
"Pedágio academia ✅ R$ 344,21",Transporte
Bônus do trabalho 😅,Renda
ASSINATURA OFFICE 365,Assinaturas
Spotify,Assinaturas
"Plano de saúde Copasa (pix) R$ 544,17",Saúde
Renovação iCloud,Assinaturas
Depósito de salário Enel,Renda
"Spotify ✅ R$ 596,80",Assinaturas
YouTube Premium,Assinaturas
CINEMA COM AMIGOS,Lazer
PASSAGEM DE ÔNIBUS (PIX),Transporte
Plano de saúde Vivo,Saúde
Conta de água Copasa 😅,Moradia
"Gás de cozinha hoje R$ 173,37",Moradia
"Sorvete Burger King 😅 R$ 114,71",Lazer
Hortifruti Bom Preço,Mercado
Gasolina no Shell ✅,Transporte
MANUTENÇÃO MOTO ✅,Outros
Amazon Prime (pix),Assinaturas
Compra no Carrefour 😅,Mercado
Conta de luz Claro urgente,Moradia
Mensalidade faculdade,Educação
"Bônus do trabalho urgente R$ 426,96",Renda
Ifood Burger King urgente,Lazer
"Material escolar R$ 325,93",Educação
Cinema com amigos ✅,Lazer
Conta de água Enel,Moradia
Mensalidade faculdade urgente,Educação
Spotify 😅,Assinaturas
Show/ingresso,Lazer
"Gás de cozinha R$ 324,39",Moradia
"Aluguel de carro (pix) R$ 280,73",Viagem
Bônus do trabalho urgente,Renda
Material escolar,Educação
Pedágio centro,Transporte
Mensalidade faculdade,Educação
YouTube Premium (pix),Assinaturas
Material escolar ✅,Educação
Paguei aluguel hoje,Moradia
Uber para aeroporto hoje,Transporte
Cinema com amigos,Lazer
Farmácia Panvel 😅,Saúde
Compra na Central,Outros
Condomínio do apartamento 😅,Moradia
SORVETE RESTAURANTE JAPONÊS URGENTE,Lazer
Recebimento freelance {tipo} (pix),Renda
"YouTube Premium urgente R$ 115,73",Assinaturas
"ESTACIONAMENTO ACADEMIA ✅ R$ 377,37",Transporte
Bar Pizzaria (pix),Lazer
Gasolina no Ale,Transporte
"Compra na da esquina R$ 483,04",Outros
"Recebimento freelance {tipo} urgente R$ 575,17",Renda
Bônus do trabalho (pix),Renda
Hortifruti Bom Preço 😅,Mercado
Restaurante McDonald's 😅,Lazer
Pagamento diverso,Outros
Assinatura Office 365 (pix),Assinaturas
"COMPRA NA POPULAR R$ 118,43",Outros
Serviço Office 365 (pix),Outros
"Conta de luz Nubank R$ 536,30",Moradia
Exame de sangue hoje,Saúde
Hortifruti Popular ✅,Mercado
Açougue Central,Mercado
"Conta de luz Copasa R$ 332,20",Moradia
Amazon Prime ✅,Assinaturas
SHOW/INGRESSO ✅,Lazer
Hortifruti Bom Preço (pix),Mercado
"Hortifruti da esquina R$ 217,22",Mercado
Conta de água Enel urgente,Moradia
Estacionamento casa ✅,Transporte
"INTERNET VIVO (PIX) R$ 205,32",Moradia
"Mensalidade faculdade R$ 11,61",Educação
"99 para academia R$ 258,49",Transporte
Plano de saúde Claro urgente,Saúde
"Pedágio academia (pix) R$ 51,95",Transporte
"Passagem de ônibus hoje R$ 481,33",Transporte
Renovação Google One (pix),Assinaturas
99 para centro ✅,Transporte
"Farmácia Droga Raia ✅ R$ 490,53",Saúde
Estacionamento centro (pix),Transporte
Plano de saúde Vivo 😅,Saúde
"Doação R$ 57,84",Outros
Pix recebido do mãe (pix),Renda
Ifood Burger King hoje,Lazer
Remédio dipirona urgente,Saúde
Gás de cozinha ✅,Moradia
HORTIFRUTI CENTRAL,Mercado
Estacionamento academia (pix),Transporte
COMPRA NO PÃO DE AÇÚCAR HOJE,Mercado
UDEMY INGLÊS 😅,Educação
PLANO DE SAÚDE ITAÚ,Saúde
Remédio dipirona,Saúde
